,heading,date,link
0,"Fee Notice - DASA/SAARC/CIWG/MEA StudentsPublished By:  HIMANSHU SINGHAL, SENIOR SYSTEM ANALYST, CENTRAL COMPUTER CENTER",18-07-2019,https://www.imsnsit.org/imsnsit/plum_url.php?kuB7Klj2x3DFHmsv9uyVlq43e2WWYhtWoRQ+CcbYERjmqzh7xPT0yI8rwTEaW9fryfiWAIvVgaelRI7DEXdpBWNJ/TKprqxS8xcNbgAtjSfLoP8PJg2FMYeXRTa4m13jOUeE36qH+EL895fBZYPWaYPxCt0Ffs1HhUpeeGk2lTUooUGjLeYZkYb8unZjNGiu
1,"Invitation of  applications to the positions of Adjunct Faculty, Professor Emeritus and Visiting Faculty in NSUT - Last date 25th   July 2019Published By:  SURESH SARAF, ASST REGISTRAR-1, ESTABLISHMENT SECTION",18-07-2019,https://www.imsnsit.org/imsnsit/plum_url.php?6In5fUdNXD8qXZHLoixycXhhLdqWimLwKFioR228sPMPjTOvp5OTlbn90HE5vHvyCx3rShBhpLTZN1zZMwoU/ds//Q8YlZ854ptwdQCdHHf0OY1qyyu9xnEVQp4V772Wr8O4/UbpGmA7x+GiObpw6a98uKt+adMTOjfqnEDLsox991oXAx9ARR4Gih2mq8Y4zvRlrXZ5yEhXE2Fls/Pzww==
2,"Applications invited from Interested Students for Innovision and Resonanz 2019-20Published By:  ABHISHEK FAUJDAR, SENIOR SYSTEM ANALYST, CENTRAL COMPUTER CENTER",18-07-2019,https://www.imsnsit.org/imsnsit/plum_url.php?vpfClI6rVnrMrRb+4NgQ4mRLaIbIvAsE0OZZdv4d4qGfMskZIxJa0z5n5MGU8ec6uru9ZokbdmeS8+7R2qgTGqcymOteV550JfYAhNtA88xNP4vWtkcvxdZ2cvqGH9ag495PRcKcXBzFy6iwkWhUL/WhuKIquGWmHvehi8mzwz3PCb2jwIjxux00ILdSaJ1g/JTCWCgaUNhWaW/Z5PoSbFCTdBQE5t5BCtzsOCAZjRA=
3,"Revised Guest Faculty Interview SchedulePublished By:  KARNAIL SINGH, ACADEMIC SECTION",17-07-2019,https://www.imsnsit.org/imsnsit/plum_url.php?yG2HiVon/Y1Tey3lCBLpobFUQt9w2nJSMr7RJAVC7INfm2kiNDjn+YT5sAEuUuqX4GPeeOLNmiuOW6rs3EvfsaSvgZSYePkDi632v08xK+tBc/x80mrCzXn1rWFWwDfqeuRb0zpGN8+52YCaC/PFNSWYoMB0N7EkJg4HZj6rUuAkIYOiY9ORT83XtMVuBAC6vkd1CsGd5Qzq4vOEfXNR1w==
4,"Revises schedule of lnterview of the Guest\r\nFacultiesPublished By:  HIMANSHU SINGHAL, SENIOR SYSTEM ANALYST-1, UNIVERSITY MANAGEMENT CENTRE, CENTRAL COMPUTER CENTER",17-07-2019,https://www.imsnsit.org/imsnsit/plum_url.php?skg7iZ467r6Wujo/Pbe3+ZGQylCCN498HDsgzXuN8rAkQXeTlBlGMA7LN6Ari7q+vcrsUnpRJHQTQK/e8MkmcZxXJZKGEBrKgT3c/H+JCjhJn4llxn3BAM1xhPzIRxKaQXK8cSppGJba0AxbUdP6N0T/VSRM6kG9u3WHdL2JqinH7Ql79W0rWHaLc0/ZOxim
5,"Guidelines for Student Registration for B. E. 5th & 7th Semester StudentsPublished By:  KHUSHIL KUMAR SAINI, COORDINATOR, UNIVERSITY MANAGEMENT CENTRE, CENTRAL COMPUTER CENTER",16-07-2019,https://www.imsnsit.org/imsnsit/plum_url.php?RfHEePS++wmew0F5yGRygPGPAlBHYT2Ah9cNr31h/IEkr5qwNX0sXZaV5VlTmIgbtjMQuVmxHwfirtUJG9PPD9QNqxSETDzW0f8j3iybNY7EeNlMMdmSDVchf23919W3CiXYirUekNqpVwGNAga/LkGtuGfVrBWBo3WSo37SJKbA5ZN3K+I3bWHAmO8I8aSyhQb7wEg0oVMJbcA4gxo6R+VlfL8IP2BzPi8jCdMjLchbjB2QCOBe6vLYcIqrkuNc
6,"Revised ME Time Table ODD 2019 : 1st. 3rd, 5th and 7th SemesterPublished By: Dr ANDRIYA NARASIMHULU, ASSISTANT PROFESSOR, MANUFACTURING PROCESSES AND AUTOMATION ENGINEERING",14-07-2019,https://www.imsnsit.org/imsnsit/plum_url.php?ZNVxMbqU6IkZguRa4Tfv1WZ5UjeBxs49Om+6VcfD2hjJvhkICr7aAf1LB8nz4v6drnx0+bBkGk2tS82F15SwK+qsRvrdhmbG2LV0/HOYxE5VfcpaxGz+f1W3hOBIFo39aUFSV3wEv+Va7JXwAab/twKJikSBaGWGz1e86em5iI4mh86nKhAmRvg17+7XbNAZHBwonVS4uhx1ma3b0Id4zA==
7,"Revised MPAE Time Table ODD 2019 : 1st. 3rd, 5th and 7th SemesterPublished By: Dr ANDRIYA NARASIMHULU, ASSISTANT PROFESSOR, MANUFACTURING PROCESSES AND AUTOMATION ENGINEERING",14-07-2019,https://www.imsnsit.org/imsnsit/plum_url.php?+kjZk2t5rrvYteAuM4o0sT+Qm6dxMtf5hcfd6qOZEpyPdnP5FSE+iEB4CifxrAgJvRDxp6orlg0K+aRBaz8cB+U3qFsZwHLDuQqKEL2xmNCqlG18H7pNhXRJYh8/SZ2vYbbbYrk8dHv8PDQbiR82E57M53XES9tYmv2slAFOR4NUa+xydbGeU8QeRMtBkqGWNRFxgFAnoCxPUdBPUlM0Aw==
8,"Fee NoticePublished By:  HIMANSHU SINGHAL, CENTRAL COMPUTER CENTER",12-07-2019,https://www.imsnsit.org/imsnsit/plum_url.php?nJcUUFwMt1LKoL4T09DKZ5QG+X8mt57zE95cLt0ML9o+l04B1atkHoxCOzaTHgcCct2v96XyGAq21UriRMzgolaVjIf2ETf8xD2Vka/GrESArjO0R4eGy5OYHpVwdktVN2AifmcEFMyKHKWHsG5y8eyMFOl9+Sm9xUsfGjPDInZcxg+vGK6ltlFqSSgCTkxk
9,"Guest Faculty interview SchedulePublished By:  KARNAIL SINGH, UDC, ACADEMIC SECTION",12-07-2019,https://www.imsnsit.org/imsnsit/plum_url.php?MsJMYFYCX+9tMuh2grccK9CY94D5V0NpDVZn2UK4x3BCCqYgPN/6bL/Y6QdTBTdBGqW/VMjjELcgrRJVE8iUew9jm534A3f787GpyAZ1g+so0S3BS1slPjQO3Q4MMPwblX2MVT3+Ka7e0LK4XDIw0HA49RY7OI6TZc+LqNA6JCXZerR0raOAN52mTubZkeZ6AyffDwSdLfkye+S4Na9YIz4xhxF+tdxDv1khh3VJmrgs2wHvk6Cco3eysGDV9ciB
